# ---------- 01 Per-Channel Summary ----------
chA: 1 chB: 4 | avgC: 3.76854 avgA: 42.227 avgB: 32.8876 MNR: 0.107798 GNR: 0.0879508 DICE: 0.0856133
chA: 2 chB: 3 | avgC: 26.0045 avgA: 67.0876 avgB: 82.6427 MNR: 0.418812 GNR: 0.282318 DICE: 0.259724
chA: 2 chB: 4 | avgC: 6.43371 avgA: 67.0876 avgB: 32.8876 MNR: 0.15816 GNR: 0.109087 DICE: 0.100674
chA: 3 chB: 4 | avgC: 8.64494 avgA: 82.6427 avgB: 32.8876 MNR: 0.219416 GNR: 0.140461 DICE: 0.127117

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.2217 avgA: 41.414 avgB: 92.5407 MNR: 0.593056 GNR: 0.384925 DICE: 0.350824
chA: 0 chB: 2 | avgC: 16.6222 avgA: 41.414 avgB: 203.952 MNR: 0.384332 GNR: 0.17755 DICE: 0.136751
chA: 0 chB: 3 | avgC: 21.2285 avgA: 41.414 avgB: 156.425 MNR: 0.508245 GNR: 0.258973 DICE: 0.210731
chA: 0 chB: 4 | avgC: 12.7692 avgA: 41.414 avgB: 79.8552 MNR: 0.294744 GNR: 0.207501 DICE: 0.194354
chA: 1 chB: 2 | avgC: 32.7748 avgA: 92.1577 avgB: 203.088 MNR: 0.345371 GNR: 0.239671 DICE: 0.222989
chA: 1 chB: 3 | avgC: 38.3596 avgA: 91.9888 avgB: 155.416 MNR: 0.404909 GNR: 0.314327 DICE: 0.30316
chA: 1 chB: 4 | avgC: 19.9798 avgA: 91.9888 avgB: 79.3528 MNR: 0.246048 GNR: 0.222387 DICE: 0.220667
chA: 2 chB: 3 | avgC: 101.858 avgA: 203.088 avgB: 155.759 MNR: 0.650843 GNR: 0.571445 DICE: 0.565421
chA: 2 chB: 4 | avgC: 32.9662 avgA: 203.088 avgB: 79.5158 MNR: 0.406789 GNR: 0.256966 DICE: 0.231599
chA: 3 chB: 4 | avgC: 35.8607 avgA: 155.416 avgB: 79.3528 MNR: 0.438511 GNR: 0.314158 DICE: 0.29667

# ---------- 10 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 25.5643 avgA: 42.2551 avgB: 96.6027 MNR: 0.60415 GNR: 0.38636 DICE: 0.349742
chA: 0 chB: 2 | avgC: 17.3115 avgA: 42.2506 avgB: 208.598 MNR: 0.394984 GNR: 0.181136 DICE: 0.138783
chA: 0 chB: 3 | avgC: 18.7743 avgA: 42.246 avgB: 167.494 MNR: 0.443572 GNR: 0.221808 DICE: 0.178527
chA: 0 chB: 4 | avgC: 11.6388 avgA: 42.2438 avgB: 83.2009 MNR: 0.275702 GNR: 0.18962 DICE: 0.176237
chA: 1 chB: 2 | avgC: 35.1775 avgA: 96.2292 avgB: 207.712 MNR: 0.356404 GNR: 0.247548 DICE: 0.23064
