# ---------- 01 Per-Channel Summary ----------
chA: 1 chB: 3 | avgC: 122.064 avgA: 402.851 avgB: 322.501 MNR: 0.361668 GNR: 0.321387 DICE: 0.318473
chA: 1 chB: 4 | avgC: 157.135 avgA: 402.851 avgB: 390.642 MNR: 0.400534 GNR: 0.381891 DICE: 0.381264
chA: 2 chB: 3 | avgC: 274.856 avgA: 379.488 avgB: 322.501 MNR: 0.843334 GNR: 0.764294 DICE: 0.758433
chA: 2 chB: 4 | avgC: 111.503 avgA: 379.488 avgB: 390.642 MNR: 0.295416 GNR: 0.282155 DICE: 0.2817
chA: 3 chB: 4 | avgC: 110.509 avgA: 322.501 avgB: 390.642 MNR: 0.338005 GNR: 0.301202 DICE: 0.298245

# ---------- 08 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 199.659 avgA: 307.214 avgB: 431.683 MNR: 0.654753 GNR: 0.548023 DICE: 0.538073
chA: 0 chB: 2 | avgC: 85.3145 avgA: 307.208 avgB: 401.607 MNR: 0.280946 GNR: 0.242492 DICE: 0.239419
chA: 0 chB: 3 | avgC: 97.4895 avgA: 307.204 avgB: 358.031 MNR: 0.329 GNR: 0.291628 DICE: 0.288974
chA: 0 chB: 4 | avgC: 103.281 avgA: 307.203 avgB: 427.05 MNR: 0.340164 GNR: 0.284414 DICE: 0.279439
chA: 1 chB: 2 | avgC: 133.699 avgA: 431.681 avgB: 401.606 MNR: 0.336135 GNR: 0.315311 DICE: 0.314316
chA: 1 chB: 3 | avgC: 137.655 avgA: 431.681 avgB: 358.031 MNR: 0.377887 GNR: 0.34319 DICE: 0.341049
chA: 1 chB: 4 | avgC: 173.635 avgA: 431.681 avgB: 427.05 MNR: 0.412757 GNR: 0.396786 DICE: 0.396294
chA: 2 chB: 3 | avgC: 303.402 avgA: 401.606 avgB: 358.031 MNR: 0.848714 GNR: 0.788962 DICE: 0.785541
chA: 2 chB: 4 | avgC: 120.112 avgA: 401.606 avgB: 427.05 MNR: 0.300964 GNR: 0.286084 DICE: 0.285531
chA: 3 chB: 4 | avgC: 124.281 avgA: 358.031 avgB: 427.05 MNR: 0.343856 GNR: 0.312085 DICE: 0.309895

# ---------- 09 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 201.779 avgA: 305.385 avgB: 438.99 MNR: 0.665767 GNR: 0.551253 DICE: 0.540081
chA: 0 chB: 2 | avgC: 84.6165 avgA: 305.382 avgB: 402.964 MNR: 0.280531 GNR: 0.24074 DICE: 0.237429
chA: 0 chB: 3 | avgC: 97.1328 avgA: 305.38 avgB: 365.047 MNR: 0.328914 GNR: 0.288896 DICE: 0.285857
chA: 0 chB: 4 | avgC: 100.239 avgA: 305.379 avgB: 416.998 MNR: 0.332403 GNR: 0.279895 DICE: 0.275335
chA: 1 chB: 2 | avgC: 134.525 avgA: 438.99 avgB: 402.964 MNR: 0.33624 GNR: 0.313417 DICE: 0.312291
chA: 1 chB: 3 | avgC: 140.128 avgA: 438.99 avgB: 365.047 MNR: 0.377438 GNR: 0.342766 DICE: 0.340585
chA: 1 chB: 4 | avgC: 174.701 avgA: 438.99 avgB: 416.998 MNR: 0.417511 GNR: 0.399878 DICE: 0.399328
chA: 2 chB: 3 | avgC: 309.95 avgA: 402.963 avgB: 365.046 MNR: 0.851729 GNR: 0.794486 DICE: 0.791235
